0,350,1537.7214,1538.9003,,1539.4552,,1539.7889
,,356.12,353.87,,353.84,,353.41
1,450,1539.1669,1540.3519,1540.3449,1540.8958,1540.8825,1541.2265
,,455.62,454.26,454.71,454.24,454.81,453.75
2,550,1540.7348,1541.8849,1541.8533,1542.425,1542.3934,1542.761
,,555.41,554.73,554.93,554.49,554.92,554.23
3,650,1542.3463,1543.4503,1543.4233,1544.0293,1543.9789,1544.349
,,654.99,654.74,654.74,654.47,654.8,654.34
4,750,1544.0133,1545.0565,1545.0739,1545.6272,1545.6128,1545.9383
,,755.37,754.88,755.12,754.69,754.86,754.48
5,850,1545.7389,1546.5793,1546.7412,1547.1951,1547.2732,1547.5084
,,856.37,855.34,855.75,855.84,855.73,855.48
6,950,1547.7018,,1548.4829,,1548.8948,
,,955.4,,955.5,,955.66,
